ID,Q1_FindBooking,Q2_BookingProcess,Q3_Time,Q4_StepsInteractedWith,Q5_TipsClarity,Q6_TipsRelevance,Q7_Navigation,Q8_DataHandlingClarity,Q9_WorkedWell,Q10_Improvements
R001,Easy,Difficult,5-10 minutes,Selecting a service|Choosing a date/time|Entering details,Clear,Irrelevant,Difficult,Unclear,"The homepage made sense and the main call-to-action stood out, so I could start quickly. I liked the consistent colours and that buttons felt responsive on my phone.","Once in the flow, the calendar felt fiddly and I kept losing my place. Shorten the forms, add a simple progress bar, and explain briefly why each personal detail is needed."
R002,Difficult,Easy,2-5 minutes,Selecting a service|Entering details|Confirming the booking,Unclear,Relevant,Easy,Unclear,"Once I found the booking area, the steps themselves were short and the confirmation screen summarised everything neatly.","Finding the start was the hardest bit; the label ""Services"" wasn""t obvious. Put a clear ""Book appointment"" button at the top and show a one-screen privacy summary in plain English."
R003,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details|Confirming the booking,Clear,Irrelevant,Difficult,Very unclear,"The ""confirm"" step reassured me with a clear reference number and a visual tick, which felt professional.","Navigation back to change a time was confusing and reloaded the page. Keep my inputs when I go back, and make the calendar scroll less jumpy on small screens."
R004,Difficult,Easy,5-10 minutes,Selecting a service|Choosing a date/time|Reviewing information,Unclear,Very relevant,Easy,Unclear,"The health tips matched my profile reasonably well and images were sharp, which kept me engaged.","Some of the tip text was long and a bit technical. Add short summaries, use bullet points, and surface reading time so I can decide whether to open it."
R005,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details,Clear,Irrelevant,Difficult,Very unclear,Starting a booking was straightforward and I appreciated the large tap targets on mobile.,"The data-handling explanation felt like legalese. Provide a concise ""how we use your data"" box with icons, and allow guest checkout with optional account creation later."
R006,Difficult,Difficult,5-10 minutes,Selecting a service|Entering details|Confirming the booking,Very clear,Relevant,Easy,Unclear,"Buttons were easy to spot and the confirmation email arrived instantly, which gave me confidence that the booking was saved.","The forms asked for several fields without context. Add helper text near each input, distinguish optional from required, and reduce the number of steps."
R007,Easy,Easy,2-5 minutes,Choosing a date/time|Reviewing information,Clear,Relevant,Difficult,Unclear,"Time choice was quick and the review page matched what I""d entered, which reduced anxiety before confirming.","Oddly, getting back to the homepage was harder than it should be. Keep the top navigation fixed and add breadcrumbs so I always know where I am."
R008,Very difficult,Difficult,Over 10 minutes,Selecting a service|Choosing a date/time,Unclear,Very irrelevant,Easy,Very unclear,"Once I reached the right page, the layout was clean and uncluttered.","The journey to get there was confusing with too many similarly named links. Simplify the menu labels and provide a ""Start here"" button on the homepage."
R009,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details|Confirming the booking,Unclear,Relevant,Difficult,Unclear,The confirmation reference number was handy when I screenshotted it for my calendar.,"The back button reset earlier choices, which was frustrating. Preserve state across steps and add clearer error messages that tell me exactly what to fix."
R010,Difficult,Easy,2-5 minutes,Selecting a service|Reviewing information|Confirming the booking,Clear,Irrelevant,Easy,Unclear,"The last two steps felt quick, and the confirm button had good contrast.","It took too long to figure out where to begin. A single ""Book now"" entry point above the fold would remove the guesswork."
R011,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details,Unclear,Irrelevant,Easy,Very unclear,I liked the colour scheme; it looks trustworthy without shouting.,Calendar performance was poor on 4G and privacy wording was dense. Preload next/previous months and summarise privacy in a short panel with a link to the full policy.
R012,Easy,Difficult,5-10 minutes,Entering details|Reviewing information|Confirming the booking,Very clear,Relevant,Difficult,Unclear,"The review page matched my input exactly and the ""edit"" links worked.",Navigation buttons moved position between screens. Keep primary actions in a fixed place and add a step counter so progress feels tangible.
R013,Difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time,Clear,Irrelevant,Easy,Unclear,"Once in the flow, the date chooser responded quickly and the slot list was readable.","The service list used terms I wouldn""t expect. Add simple descriptions under each service and include examples."
R014,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details,Unclear,Relevant,Difficult,Unclear,"The fonts are clear and the tap targets are big, which reduced accidental taps.",The calendar sometimes jumped back a month. Keep the current position stable and allow typing a date as an alternative.
R015,Difficult,Easy,2-5 minutes,Reviewing information|Confirming the booking,Very clear,Relevant,Easy,Unclear,The confirmation felt reassuring and the ICS download was useful.,"Finding the booking flow from the homepage wasn""t intuitive. Put a prominent ""Start booking"" button and reduce link clutter in the header."
R016,Very difficult,Difficult,Over 10 minutes,Selecting a service|Entering details|Confirming the booking,Clear,Irrelevant,Difficult,Very unclear,The confirmation email contained the time and clinic clearly.,"Too many required fields without explanation. Show ""why we ask"" tooltips and allow address lookup instead of manual entry."
R017,Easy,Difficult,5-10 minutes,Choosing a date/time|Reviewing information,Unclear,Relevant,Difficult,Unclear,The review step allowed quick edits without losing progress.,"The calendar""s touch targets were small and close together. Increase spacing and support a list view of times for accessibility."
R018,Difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time|Confirming the booking,Very clear,Irrelevant,Easy,Unclear,The flow was short once started and the wording was plain.,The initial menu labels were ambiguous. Replace jargon with everyday terms and show a short intro panel the first time I open the app.
R019,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details|Confirming the booking,Clear,Relevant,Difficult,Very unclear,"I liked that the final screen recapped everything so I didn""t second-guess myself.",The data-handling text felt like fine print. Offer a 4-bullet summary with icons and a link to more detail.
R020,Difficult,Easy,2-5 minutes,Selecting a service|Reviewing information,Unclear,Irrelevant,Easy,Unclear,The review page visually grouped information well.,"The services page was visually dense. Add more spacing, section headings, and a quick filter."
R021,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details|Confirming the booking,Unclear,Very relevant,Easy,Unclear,Some health tips felt spot on for me and used friendly examples.,The booking journey itself felt heavy. Reduce the number of screens and let me save progress if I need to step away.
R022,Easy,Difficult,5-10 minutes,Selecting a service|Entering details,Very clear,Relevant,Difficult,Unclear,Copy on the confirmation was in plain English and avoided medical jargon.,"Navigation hid when I scrolled, so I lost orientation. Keep a sticky header with a clear ""Home"" link."
R023,Difficult,Easy,2-5 minutes,Choosing a date/time|Reviewing information|Confirming the booking,Clear,Irrelevant,Easy,Unclear,The date chips were easy to tap and the confirm step was quick.,"The first screen didn""t tell me what would happen next. Add a short three-step overview at the start."
R024,Very difficult,Difficult,Over 10 minutes,Selecting a service|Choosing a date/time,Unclear,Irrelevant,Easy,Very unclear,"Branding is calm and consistent, which helped a little.",The route to booking was circuitous. Add a start button above the fold and simplify the mega-menu.
R025,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details,Very clear,Relevant,Difficult,Unclear,I appreciated that the phone field accepted spaces and international formats.,"The calendar sometimes returned ""no slots"" without explanation. Show why, and suggest the nearest alternative clinic or time."
R026,Difficult,Easy,2-5 minutes,Selecting a service|Reviewing information,Clear,Irrelevant,Easy,Unclear,The review table made it simple to double-check details.,The service names were similar and I had to guess. Add short descriptions and an information icon beside each one.
R027,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details|Confirming the booking,Unclear,Relevant,Difficult,Very unclear,I liked getting the reference number immediately.,"Data-handling language felt long and formal. Provide a concise summary with headings like ""What we collect"" and ""How long we keep it""."
